id,price
11,4557916.471955833
155,4791172.623389035
48,3009555.0053786263
218,3071053.359940639
275,5167298.357109076
128,4009045.6653427524
54,3660032.654182891
20,6708989.179500599
288,4496099.971084784
167,4213986.937323182
55,3267902.040923923
206,4332510.825238934
261,4068404.818559717
325,5527144.63537925
95,3487634.4123614063
195,4755019.522234197
300,7403144.544121382
309,5133136.381713023
114,4124176.7502424307
42,7871820.527974951
144,3913307.436152966
197,4487010.46872508
216,7788026.426778969
31,4236291.5586856445
229,7045761.389527372
188,5151852.628946117
94,4595037.470166263
234,6659769.064870712
319,2734594.550635376
201,3224027.505518025
143,3932861.66399371
209,5761693.644715622
304,3081810.910547425
79,3843109.1189600723
196,8231714.166915847
91,2325811.7770062718
315,3877191.158848996
147,3224027.505518025
258,7977285.216691241
173,3402956.1719646426
246,3837069.2139237607
179,5341840.764819249
26,6231553.756282718
12,5065358.793706767
170,3556055.4887187337
238,7526106.121935535
30,4848510.964986439
236,4799312.825456776
203,3304610.1317427745
75,5144735.105773199
72,3874708.6637125937
6,3421969.655457715
294,7266659.068229628
102,3326271.0795094357
33,2568805.779676643
295,5827246.566581768
273,3792675.6545461128
250,4072585.3934274707
71,5115737.309193069
41,3056060.8203376313
105,3280427.846738858
166,3164067.266173727
160,2844803.5462843017
19,6782991.262602831
29,4001256.2425580015
90,2734594.550635376
187,5059316.560235364
310,2654322.987225448
53,3112910.1202034582
22,5115737.309193069
185,4903676.429386976
314,6326760.281956638
52,4234831.448363717
239,5173353.065175015
291,7288128.137792151
125,4287220.24081582
35,4516696.32334066
181,4431686.794691078
267,2731807.1184354797
311,3977602.856666
148,4540840.431973963
4,6196851.106490609
232,7013076.578999024
249,4397258.52526205
254,3901690.4951401697
24,9146569.543962209
80,2997575.52325327
161,5737749.026636908
165,4392548.7864501905
235,8451727.831418306
78,5108833.474457674
289,3668772.838766752
61,7572005.393423514
81,3643516.068645516
326,3497637.5115719703
107,3268667.9081929396
210,6446201.096159083
36,7216687.270223779
174,3936693.962465381
